Player,Position,Team,Birthday,InjuryStatus
Georges Niang,SF,PHI,1993/06/17,Healthy
Paul Reed,SF,PHI,1999/06/14,Healthy
Jaden Springer,G,PHI,2002/09/25,Out
Matisse Thybulle,SG,PHI,1997/03/04,Healthy
P.J. Tucker,PF,PHI,1985/05/05,Healthy
Deandre Ayton,C,PHX,1998/07/23,Healthy
Bismack Biyombo,C,PHX,1992/08/28,Healthy
Devin Booker,SG,PHX,1996/10/30,Healthy
Mikal Bridges,SF,PHX,1996/08/30,Healthy
Torrey Craig,SF,PHX,1990/12/19,Healthy
Jae Crowder,PF,PHX,1990/07/06,Out
Cameron Johnson,SF,PHX,1996/03/03,Out
Jock Landale,C,PHX,1995/10/25,Healthy
Damion Lee,SG,PHX,1992/10/21,Healthy
Josh Okogie,SF,PHX,1998/09/01,Healthy
Chris Paul,PG,PHX,1985/05/06,Out
Cameron Payne,PG,PHX,1994/08/08,Healthy
Dario Saric,PF,PHX,1994/04/08,Healthy
Landry Shamet,SG,PHX,1997/03/13,Healthy
Ish Wainright,F,PHX,1994/09/12,Healthy
Duane Washington Jr.,PG,PHX,2000/03/24,Healthy
Ibou Badji,C,POR,2002/10/13,Healthy
Greg Brown III,PF,POR,2001/09/01,Healthy
John Butler Jr.,F,POR,2002/12/04,Healthy
Drew Eubanks,PF,POR,1997/02/01,Healthy
Jerami Grant,SF,POR,1994/03/12,Healthy
Josh Hart,SG,POR,1995/03/06,Healthy
Keon Johnson,SG,POR,2002/03/10,Out
Damian Lillard,PG,POR,1990/07/15,Out
Nassir Little,SF,POR,2000/02/11,Healthy
Jusuf Nurkic,C,POR,1994/08/23,Healthy
Gary Payton II,SG,POR,1992/12/01,Out
Olivier Sarr,C,POR,1999/02/20,Out
Shaedon Sharpe,SG,POR,2003/05/30,Day-To-Day
Anfernee Simons,SG,POR,1999/06/08,Healthy
Jabari Walker,F,POR,2002/07/30,Healthy
Trendon Watford,PF,POR,2000/11/09,Healthy
Justise Winslow,PF,POR,1996/03/26,Healthy
Harrison Barnes,SF,SAC,1992/05/30,Healthy
Terence Davis,SG,SAC,1997/05/16,Healthy
Matthew Dellavedova,PG,SAC,1990/09/08,Healthy
Keon Ellis,G,SAC,2000/01/08,Healthy
De'Aaron Fox,PG,SAC,1997/12/20,Healthy
Richaun Holmes,C,SAC,1993/10/15,Healthy
Kevin Huerter,SG,SAC,1998/08/27,Healthy
Alex Len,C,SAC,1993/06/16,Healthy
Trey Lyles,PF,SAC,1995/11/05,Day-To-Day
Chimezie Metu,PF,SAC,1997/03/22,Healthy
Davion Mitchell,PG,SAC,1998/09/05,Healthy
Chima Moneke,F,SAC,1995/12/24,Day-To-Day
