Player,Position,Team,Birthday,InjuryStatus
Velus Jones Jr.,WR,CHI,1997/05/11,Healthy
Cole Kmet,TE,CHI,1999/03/10,Healthy
Doug Kramer,C,CHI,1998/06/04,Injured Reserve
Alex Leatherwood,OT,CHI,1999/01/05,Healthy
David Montgomery,RB,CHI,1997/06/07,Healthy
Darnell Mooney,WR,CHI,1997/10/29,Injured Reserve
Sam Mustipher,C,CHI,1996/08/13,Healthy
Michael Niese,G,CHI,1998/01/13,Healthy
Lucas Patrick,G,CHI,1993/07/30,Injured Reserve
Nathan Peterman,QB,CHI,1994/05/04,Healthy
Dante Pettis,WR,CHI,1995/10/23,Healthy
Byron Pringle,WR,CHI,1993/11/17,Healthy
Riley Reiff,OT,CHI,1988/12/01,Questionable
Sammis Reyes,TE,CHI,1995/10/19,Healthy
Michael Schofield III,G,CHI,1990/11/15,Healthy
Trevor Siemian,QB,CHI,1991/12/26,Healthy
Equanimeous St. Brown,WR,CHI,1996/09/30,Healthy
Jake Tonges,TE,CHI,1999/07/08,Healthy
Nsimba Webster,WR,CHI,1996/01/27,Healthy
Trevon Wesco,TE,CHI,1995/09/12,Healthy
Cody Whitehair,C,CHI,1992/07/11,Healthy
Matthew Adams,LB,CHI,1995/12/12,Healthy
Andre Anthony,DE,CHI,1996/11/21,Out
Angelo Blackson,DE,CHI,1992/11/14,Healthy
Josh Blackwell,CB,CHI,1999/04/05,Healthy
Breon Borders,CB,CHI,1995/07/22,Healthy
Jaquan Brisker,S,CHI,1999/04/20,Questionable
Taco Charlton,DE,CHI,1994/11/07,Healthy
Adrian Colbert,S,CHI,1993/10/06,Healthy
Trevon Coley,DT,CHI,1994/07/13,Healthy
Dane Cruikshank,CB,CHI,1995/04/27,Questionable
DeMarquis Gates,LB,CHI,1996/03/07,Healthy
Trevis Gipson,LB,CHI,1997/06/13,Healthy
Kyler Gordon,CB,CHI,1999/12/17,Questionable
Gerri Green,DE,CHI,1995/09/14,Healthy
Harrison Hand,CB,CHI,1998/11/12,Healthy
Elijah Hicks,S,CHI,1999/10/16,Healthy
Jalyn Holmes,DE,CHI,1996/01/25,Healthy
DeAndre Houston-Carson,S,CHI,1993/04/13,Healthy
Eddie Jackson,S,CHI,1993/12/10,Injured Reserve
Jaylon Johnson,CB,CHI,1999/04/19,Healthy
Jaylon Jones,CB,CHI,1997/10/14,Healthy
Justin Jones,DT,CHI,1996/08/28,Healthy
Justin Layne,CB,CHI,1998/01/12,Healthy
Nicholas Morrow,LB,CHI,1995/07/10,Healthy
Al-Quadin Muhammad,DE,CHI,1995/03/28,Healthy
Mike Pennel Jr.,DT,CHI,1991/05/09,Healthy
Dominique Robinson,DE,CHI,1998/07/02,Healthy
Jack Sanborn,LB,CHI,2000/07/29,Healthy
A.J. Thomas,S,CHI,1999/09/18,Healthy
Joe Thomas,LB,CHI,1991/05/06,Healthy
Kindle Vildor,CB,CHI,1997/12/11,Healthy
Armon Watts,DT,CHI,1996/07/22,Healthy
Sterling Weatherford,LB,CHI,1999/01/26,Questionable
Javin White,LB,CHI,1997/02/21,Injured Reserve
Trenton Gill,P,CHI,1999/01/01,Healthy
Cairo Santos,PK,CHI,1991/11/12,Healthy
Patrick Scales,LS,CHI,1988/02/11,Healthy
Hakeem Adeniji,G,CIN,1997/12/08,Healthy
Brandon Allen,QB,CIN,1992/09/05,Healthy
Devin Asiasi,TE,CIN,1997/08/14,Healthy
Nick Bowers,TE,CIN,1996/05/26,Healthy
Tyler Boyd,WR,CIN,1993/11/15,Healthy
Ben Brown,C,CIN,1998/05/19,Injured Reserve
Joe Burrow,QB,CIN,1996/12/10,Healthy
Alex Cappa,G,CIN,1995/01/27,Healthy
Jackson Carman,G,CIN,2000/01/22,Healthy
Ja'Marr Chase,WR,CIN,2000/03/01,Questionable
La'el Collins,OT,CIN,1993/07/26,Healthy
Chris Evans,RB,CIN,1997/10/05,Healthy
Tee Higgins,WR,CIN,1999/01/18,Healthy
Trey Hill,C,CIN,2000/01/23,Healthy
Elijah Holyfield,RB,CIN,1997/11/30,Injured Reserve
Hayden Hurst,TE,CIN,1993/08/24,Healthy
Trenton Irwin,WR,CIN,1995/12/10,Healthy
Tyron Johnson,WR,CIN,1996/01/08,Healthy
Ted Karras,C,CIN,1993/03/15,Healthy
Kwamie Lassiter II,WR,CIN,1998/01/21,Healthy
Joe Mixon,RB,CIN,1996/07/24,Questionable
Stanley Morgan,WR,CIN,1996/09/07,Healthy
Samaje Perine,RB,CIN,1995/09/16,Healthy
Isaiah Prince,OT,CIN,1997/07/29,Healthy
Drew Sample,TE,CIN,1996/04/16,Injured Reserve
Max Scharping,G,CIN,1996/08/10,Healthy
D'Ante Smith,G,CIN,1998/06/09,Healthy
Trent Taylor,WR,CIN,1994/04/30,Healthy
Cordell Volson,OT,CIN,1998/07/20,Healthy
Mitchell Wilcox,TE,CIN,1996/11/07,Healthy
Jonah Williams,OT,CIN,1997/11/17,Healthy
Trayveon Williams,RB,CIN,1997/10/18,Healthy
Tycen Anderson,S,CIN,1999/06/13,Injured Reserve
